                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.2876,                 1.0743,                 1.2322,                0.29732,                0.32233,                0.25319,                0.11703,                 2.6381,                 3.7922,                 2.2938,              0.0017662,              0.0017662,              0.0017662
                     69,                 1.2739,                 1.0671,                 1.2378,                0.33849,                0.30579,                0.23103,                0.09658,                 2.5859,                 3.8418,                 2.1156,              0.0017594,              0.0017594,              0.0017594
                     70,                 1.2875,                 1.0896,                 1.2315,                0.19969,                0.29485,                0.29019,                0.09236,                 2.8145,                 3.9528,                 2.4333,              0.0017526,              0.0017526,              0.0017526
                     71,                 1.2852,                 1.0658,                 1.2323,                0.23502,                0.30201,                 0.2499,                0.08045,                 2.9269,                 3.5457,                 2.3918,              0.0017457,              0.0017457,              0.0017457
                     72,                 1.2658,                 1.0383,                 1.2076,                 0.4765,                0.34031,                0.35056,                0.12492,                 2.7944,                 3.4634,                 2.3113,              0.0017387,              0.0017387,              0.0017387
                     73,                  1.235,                0.99681,                 1.2126,                0.35101,                0.18977,                0.22859,                0.05902,                  2.839,                 3.6053,                 2.3852,              0.0017317,              0.0017317,              0.0017317
                     74,                 1.2776,                 1.0452,                  1.221,                0.20149,                0.20972,                 0.2305,                  0.065,                 2.7306,                 3.6435,                 2.2203,              0.0017245,              0.0017245,              0.0017245
                     75,                 1.2637,                 1.0027,                 1.2054,                0.17411,                0.16286,                0.16708,                0.04478,                 2.9165,                 3.6661,                 2.3782,              0.0017173,              0.0017173,              0.0017173
                     76,                 1.2512,                 1.0201,                 1.2135,                0.26602,                0.32014,                0.22299,                0.05683,                 2.7771,                 3.7533,                 2.2858,                0.00171,                0.00171,                0.00171
                     77,                 1.2626,                 1.0264,                 1.2149,                 0.5056,                0.10438,                0.16012,                0.06342,                 2.7417,                 3.5872,                 2.3222,              0.0017027,              0.0017027,              0.0017027
                     78,                 1.2179,                0.98924,                 1.1857,                0.49988,                0.15849,                0.21159,                0.06031,                 2.6672,                 3.7767,                  2.271,              0.0016952,              0.0016952,              0.0016952
                     79,                 1.2343,                 1.0251,                 1.1884,                0.27205,                0.30923,                0.23065,                0.06954,                 2.7346,                 3.7609,                 2.3063,              0.0016877,              0.0016877,              0.0016877
                     80,                 1.2242,                0.97186,                 1.2005,                 0.3882,                0.35546,                0.32792,                0.11421,                 2.7591,                 3.7701,                 2.4018,              0.0016801,              0.0016801,              0.0016801
                     81,                 1.2437,                0.97095,                 1.1977,                0.44226,                0.32229,                0.33215,                0.09077,                 2.8498,                 3.5208,                 2.4298,              0.0016724,              0.0016724,              0.0016724
                     82,                 1.1938,                0.95969,                 1.1767,                0.34107,                0.32516,                0.26764,                0.06447,                 2.9114,                 3.8016,                 2.5556,              0.0016647,              0.0016647,              0.0016647
                     83,                 1.2156,                0.96568,                 1.1776,                0.20373,                0.28771,                 0.1853,                0.05081,                 2.9111,                 3.7418,                  2.606,              0.0016569,              0.0016569,              0.0016569
                     84,                  1.209,                0.94861,                  1.173,                0.34855,                   0.31,                 0.3335,                0.13348,                 2.7665,                 3.9891,                 2.4162,               0.001649,               0.001649,               0.001649
                     85,                 1.2203,                0.97091,                 1.1794,                0.32276,                0.32516,                0.26238,                0.09076,                 2.6609,                 3.9124,                  2.262,               0.001641,               0.001641,               0.001641
                     86,                 1.2077,                0.93418,                 1.1856,                0.35924,                0.16015,                0.21358,                 0.0739,                 2.7017,                 3.9596,                 2.3362,               0.001633,               0.001633,               0.001633
                     87,                  1.177,                0.92776,                 1.1618,                0.39279,                0.35883,                0.38247,                0.10204,                  2.635,                 3.7966,                 2.2678,              0.0016249,              0.0016249,              0.0016249
                     88,                  1.203,                0.93728,                 1.1791,                0.39206,                   0.31,                0.33695,                0.14201,                 2.6905,                 3.5006,                 2.3043,              0.0016168,              0.0016168,              0.0016168
                     89,                 1.1928,                0.90483,                 1.1723,                0.53503,                0.29264,                0.32616,                0.11973,                  2.609,                 3.8964,                 2.2684,              0.0016086,              0.0016086,              0.0016086
